epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1451,1.82766,2.50316,1.06543,0.31506,0.16163,0.12076,0.0639,1.68791,1.57574,1.01023,0.0033251,0.0033251,0.0033251
2,103.19,1.74328,1.63556,1.02105,0.21403,0.18698,0.14069,0.0765,1.70039,1.45087,0.99534,0.00659252,0.00659252,0.00659252
3,150.502,1.75151,1.56743,1.01351,0.23503,0.22718,0.17373,0.09499,1.6099,1.42629,0.98812,0.00979393,0.00979393,0.00979393
4,196.76,1.73098,1.49965,1.00905,0.27641,0.21816,0.19316,0.10572,1.61405,1.35567,0.98168,0.009703,0.009703,0.009703
5,242.523,1.68611,1.43149,0.99788,0.28395,0.23738,0.20539,0.11408,1.5779,1.34497,0.98103,0.009604,0.009604,0.009604
6,288.313,1.65454,1.3816,0.98638,0.29116,0.22929,0.20064,0.1095,1.64382,1.33321,0.97614,0.009505,0.009505,0.009505
7,333.891,1.63312,1.3407,0.98084,0.3336,0.26017,0.2333,0.13035,1.53477,1.21204,0.9592,0.009406,0.009406,0.009406
8,379.594,1.60969,1.31202,0.9754,0.33314,0.26212,0.23775,0.1325,1.5458,1.23418,0.96259,0.009307,0.009307,0.009307
9,425.129,1.58316,1.27634,0.96875,0.34838,0.26249,0.24321,0.13443,1.53795,1.20549,0.96184,0.009208,0.009208,0.009208
10,471.173,1.57761,1.25497,0.9661,0.32129,0.25979,0.23632,0.13282,1.53318,1.20806,0.95611,0.009109,0.009109,0.009109
11,517.134,1.56467,1.23891,0.96262,0.35487,0.26351,0.24359,0.1377,1.50748,1.19673,0.94784,0.00901,0.00901,0.00901
12,562.807,1.5571,1.21885,0.96041,0.38696,0.25765,0.25691,0.14377,1.50673,1.16029,0.9439,0.008911,0.008911,0.008911
13,608.309,1.53713,1.20835,0.95825,0.35144,0.28052,0.25564,0.14501,1.49,1.15397,0.9454,0.008812,0.008812,0.008812
14,653.906,1.53796,1.19538,0.95661,0.36188,0.27516,0.26157,0.14805,1.47563,1.13421,0.93956,0.008713,0.008713,0.008713
15,699.34,1.52129,1.17952,0.95248,0.36958,0.27709,0.26357,0.14968,1.47347,1.12681,0.94011,0.008614,0.008614,0.008614
16,745.092,1.51812,1.17112,0.95296,0.38574,0.28441,0.27196,0.15446,1.4566,1.12202,0.93904,0.008515,0.008515,0.008515
17,790.73,1.51564,1.16619,0.95036,0.37796,0.2869,0.27155,0.1533,1.46479,1.12136,0.93762,0.008416,0.008416,0.008416
18,836.475,1.50558,1.14782,0.94665,0.36357,0.28466,0.26826,0.15223,1.46243,1.11985,0.9387,0.008317,0.008317,0.008317
19,882.321,1.49419,1.13887,0.94568,0.38322,0.28501,0.27858,0.15762,1.44778,1.10743,0.93744,0.008218,0.008218,0.008218
20,928.213,1.48534,1.12707,0.94711,0.39202,0.29112,0.28099,0.15894,1.44176,1.09132,0.93292,0.008119,0.008119,0.008119
21,973.887,1.49217,1.13056,0.94367,0.38015,0.29774,0.28177,0.16141,1.44822,1.10096,0.93281,0.00802,0.00802,0.00802
22,1019.38,1.4858,1.12042,0.9432,0.38414,0.28601,0.28241,0.1594,1.44131,1.08853,0.93383,0.007921,0.007921,0.007921
23,1064.66,1.47576,1.11314,0.94175,0.39112,0.29656,0.2904,0.16371,1.43638,1.08664,0.93124,0.007822,0.007822,0.007822
24,1110.3,1.47616,1.10985,0.94042,0.39348,0.30055,0.28961,0.16348,1.42818,1.08001,0.9321,0.007723,0.007723,0.007723
25,1155.7,1.46542,1.09942,0.94015,0.39932,0.29337,0.28936,0.16533,1.42311,1.08,0.92755,0.007624,0.007624,0.007624
26,1201.68,1.46597,1.09825,0.93794,0.39195,0.3013,0.29073,0.16688,1.41596,1.06467,0.92789,0.007525,0.007525,0.007525
27,1247.55,1.45898,1.09104,0.9353,0.41277,0.29692,0.29477,0.16893,1.41535,1.06173,0.92712,0.007426,0.007426,0.007426
28,1293.26,1.46518,1.09227,0.93675,0.39539,0.30934,0.2953,0.16843,1.42598,1.06862,0.92768,0.007327,0.007327,0.007327
29,1338.71,1.45791,1.08218,0.93536,0.40482,0.30158,0.29467,0.16734,1.41343,1.0573,0.92603,0.007228,0.007228,0.007228
30,1384.02,1.44876,1.0735,0.93394,0.38786,0.3027,0.29334,0.16708,1.41353,1.05669,0.92637,0.007129,0.007129,0.007129
31,1429.33,1.44695,1.07496,0.93274,0.39943,0.30213,0.29874,0.17122,1.40188,1.0544,0.92716,0.00703,0.00703,0.00703
32,1474.92,1.43701,1.06569,0.93246,0.41268,0.30087,0.29992,0.17208,1.41,1.06335,0.92609,0.006931,0.006931,0.006931
33,1520.39,1.43955,1.06634,0.93466,0.42195,0.29379,0.29797,0.17125,1.41316,1.05331,0.92474,0.006832,0.006832,0.006832
34,1566.08,1.4411,1.0642,0.93235,0.40821,0.3069,0.30115,0.17299,1.40036,1.03895,0.9234,0.006733,0.006733,0.006733
35,1611.54,1.44,1.05849,0.92964,0.41917,0.3045,0.30413,0.17509,1.40199,1.04032,0.9217,0.006634,0.006634,0.006634
36,1657.29,1.42935,1.05332,0.92791,0.42282,0.30743,0.30663,0.17666,1.39419,1.03711,0.92133,0.006535,0.006535,0.006535
37,1702.73,1.42467,1.04618,0.92845,0.41024,0.31356,0.30683,0.1779,1.39046,1.02917,0.91776,0.006436,0.006436,0.006436
38,1748.11,1.42504,1.04898,0.92922,0.43825,0.30964,0.31492,0.18177,1.38943,1.02998,0.9197,0.006337,0.006337,0.006337
39,1793.86,1.4215,1.04228,0.92801,0.41857,0.31705,0.31043,0.17892,1.39018,1.0346,0.91903,0.006238,0.006238,0.006238
40,1839.69,1.4222,1.03905,0.92582,0.42843,0.30828,0.31064,0.17867,1.38784,1.03131,0.91825,0.006139,0.006139,0.006139
41,1885.34,1.41591,1.0306,0.92467,0.4251,0.31771,0.31444,0.17974,1.39377,1.0239,0.92034,0.00604,0.00604,0.00604
